title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
On The Floor,Jennifer Lopez,POP,9.663594,81.0,2011,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,69
What's My Name?,Rihanna,POP,41.858636,93.0,2011,100.0,79.0,69.0,-3.0,8.0,58.0,263.0,23.0,7.0,69
Yeah 3x,Chris Brown,POP,13.353299,91.0,2011,130.0,88.0,71.0,-3.0,9.0,70.0,242.0,0.0,4.0,69
Without You (feat. Usher),David Guetta,POP,22.306494,91.0,2011,128.0,61.0,61.0,-4.0,16.0,40.0,208.0,23.0,3.0,68
Sexy And I Know It,LMFAO,POP,3.680054,72.0,2011,130.0,86.0,71.0,-4.0,19.0,80.0,199.0,10.0,32.0,67
The Edge Of Glory,Lady Gaga,POP,16.716518,90.0,2011,128.0,77.0,58.0,-6.0,11.0,36.0,321.0,0.0,4.0,67
E.T.,Katy Perry,POP,17.821796,88.0,2011,152.0,87.0,62.0,-5.0,37.0,76.0,230.0,2.0,18.0,66
Till the World Ends,Britney Spears,POP,8.732805,85.0,2011,132.0,71.0,69.0,-6.0,20.0,45.0,238.0,2.0,7.0,65
I Wanna Go,Britney Spears,POP,8.732805,85.0,2011,130.0,55.0,70.0,-7.0,33.0,79.0,210.0,0.0,4.0,64
Blow,Kesha,POP,6.235482,82.0,2011,120.0,73.0,75.0,-4.0,7.0,81.0,220.0,0.0,4.0,64
You And I,Lady Gaga,POP,16.716518,90.0,2011,127.0,70.0,52.0,-5.0,9.0,52.0,307.0,9.0,5.0,64
Judas,Lady Gaga,POP,16.716518,90.0,2011,131.0,93.0,66.0,-4.0,27.0,53.0,249.0,0.0,7.0,63
Tonight (I'm Fuckin' You),Enrique Iglesias,POP,9.980979,81.0,2011,126.0,89.0,65.0,-4.0,12.0,32.0,232.0,3.0,5.0,63
Please Don't Go,Mike Posner,POP,1.123621,76.0,2011,120.0,88.0,70.0,-4.0,13.0,66.0,197.0,0.0,3.0,63
We Found Love,Rihanna,POP,41.858636,93.0,2011,128.0,77.0,73.0,-4.0,11.0,60.0,215.0,3.0,4.0,61
Marry The Night,Lady Gaga,POP,16.716518,90.0,2011,131.0,88.0,61.0,-4.0,46.0,38.0,265.0,0.0,6.0,61
1+1,Beyoncé,POP,26.71493,89.0,2011,63.0,38.0,30.0,-7.0,7.0,26.0,274.0,38.0,3.0,60
Hold It Against Me,Britney Spears,POP,8.732805,85.0,2011,133.0,72.0,65.0,-5.0,24.0,39.0,229.0,1.0,4.0,59
I'm Into You,Jennifer Lopez,POP,9.663594,81.0,2011,84.0,75.0,59.0,-4.0,8.0,70.0,200.0,2.0,14.0,59
Papi,Jennifer Lopez,POP,9.663594,81.0,2011,120.0,81.0,71.0,-5.0,37.0,89.0,223.0,13.0,6.0,58
Cheers (Drink To That),Rihanna,POP,41.858636,93.0,2011,80.0,91.0,58.0,-4.0,29.0,73.0,262.0,2.0,4.0,58
S&M Remix,Rihanna,POP,41.858636,93.0,2011,128.0,81.0,82.0,-3.0,5.0,89.0,257.0,5.0,5.0,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,POP,0.765237,71.0,2011,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52
Jar of Hearts,Christina Perri,POP,2.917625,76.0,2011,75.0,35.0,35.0,-6.0,12.0,9.0,247.0,73.0,3.0,50
Castle Walls (feat. Christina Aguilera),T.I.,HIPHOP,3.668252,80.0,2011,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49
Turning Page,Sleeping At Last,POP,1.051626,77.0,2011,125.0,38.0,30.0,-8.0,11.0,19.0,255.0,91.0,3.0,46
Super Bass,Nicki Minaj,POP,20.733813,91.0,2011,127.0,74.0,77.0,-7.0,40.0,59.0,201.0,6.0,23.0,38
Raise Your Glass,P!nk,POP,10.558136,86.0,2011,122.0,64.0,68.0,-7.0,12.0,56.0,208.0,0.0,12.0,38
Invading My Mind,Jennifer Lopez,POP,9.663594,81.0,2011,129.0,88.0,73.0,-4.0,32.0,69.0,201.0,2.0,7.0,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,POP,20.733813,91.0,2011,130.0,88.0,50.0,-4.0,22.0,37.0,279.0,39.0,38.0,28
Last Friday Night (T.G.I.F.),Katy Perry,POP,17.821796,88.0,2011,126.0,81.0,65.0,-4.0,67.0,72.0,231.0,0.0,4.0,27
Firework,Katy Perry,POP,17.821796,88.0,2011,124.0,83.0,64.0,-5.0,11.0,65.0,228.0,14.0,5.0,25
Muny - Album Version (Edited),Nicki Minaj,POP,20.733813,91.0,2011,98.0,72.0,80.0,-5.0,19.0,53.0,227.0,56.0,33.0,7
Titanium (feat. Sia),David Guetta,POP,22.306494,91.0,2012,126.0,79.0,60.0,-4.0,13.0,30.0,245.0,7.0,10.0,80
Locked Out of Heaven,Bruno Mars,POP,29.381078999999996,93.0,2012,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,79
Paradise,Coldplay,ROCK,29.455218,90.0,2012,140.0,59.0,45.0,-7.0,8.0,20.0,279.0,5.0,3.0,79
Payphone,Maroon 5,POP,29.955690999999998,91.0,2012,110.0,75.0,74.0,-5.0,29.0,55.0,231.0,2.0,4.0,79
What Makes You Beautiful,One Direction,POP,20.573,91.0,2012,125.0,79.0,73.0,-2.0,6.0,89.0,200.0,1.0,7.0,78
I Knew You Were Trouble.,Taylor Swift,POP,38.00574,98.0,2012,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,77
Call Me Maybe,Carly Rae Jepsen,POP,4.512754,76.0,2012,120.0,58.0,78.0,-7.0,11.0,66.0,193.0,1.0,4.0,76
Love You Like A Love Song,Selena Gomez & The Scene,POP,6.3215,72.0,2012,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,76
Set Fire to the Rain,Adele,BLUES,26.369721999999996,86.0,2012,108.0,68.0,61.0,-4.0,13.0,47.0,242.0,0.0,3.0,76
We Are Never Ever Getting Back Together,Taylor Swift,POP,38.00574,98.0,2012,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75
Stronger (What Doesn't Kill You),Kelly Clarkson,POP,7.493860000000001,79.0,2012,116.0,94.0,56.0,-4.0,11.0,68.0,222.0,5.0,5.0,74
Try,P!nk,POP,10.558136,86.0,2012,104.0,63.0,67.0,-7.0,9.0,55.0,248.0,0.0,3.0,74
Starships,Nicki Minaj,POP,20.733813,91.0,2012,125.0,72.0,75.0,-2.0,25.0,75.0,211.0,14.0,8.0,73
One More Night,Maroon 5,POP,29.955690999999998,91.0,2012,93.0,82.0,72.0,-3.0,8.0,62.0,220.0,6.0,3.0,73
Good Time,Owl City,POP,2.060824,75.0,2012,126.0,87.0,56.0,-4.0,37.0,68.0,206.0,2.0,14.0,73
Glad You Came,The Wanted,POP,2.215667,70.0,2012,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,72
Beauty And A Beat,Justin Bieber,POP,43.755452000000005,98.0,2012,128.0,84.0,60.0,-5.0,7.0,53.0,228.0,0.0,6.0,72
International Love,Pitbull,POP,8.302253,87.0,2012,120.0,86.0,67.0,-3.0,34.0,65.0,227.0,1.0,5.0,72
Some Nights,fun.,POP,3.461092,73.0,2012,108.0,74.0,67.0,-7.0,9.0,39.0,277.0,2.0,5.0,72
Boyfriend,Justin Bieber,POP,43.755452000000005,98.0,2012,97.0,55.0,72.0,-6.0,13.0,33.0,171.0,4.0,5.0,71
Part Of Me,Katy Perry,POP,17.821796,88.0,2012,130.0,92.0,68.0,-5.0,7.0,77.0,216.0,0.0,4.0,71
Domino,Jessie J,POP,8.417336,77.0,2012,127.0,55.0,76.0,-5.0,4.0,78.0,232.0,1.0,3.0,69
Where Have You Been,Rihanna,POP,41.858636,93.0,2012,128.0,85.0,72.0,-6.0,22.0,44.0,243.0,0.0,9.0,68
Wide Awake,Katy Perry,POP,17.821796,88.0,2012,160.0,68.0,51.0,-5.0,39.0,57.0,221.0,7.0,4.0,68
The One That Got Away,Katy Perry,POP,17.821796,88.0,2012,134.0,80.0,69.0,-4.0,16.0,88.0,227.0,0.0,4.0,67
Dance Again,Jennifer Lopez,POP,9.663594,81.0,2012,128.0,86.0,79.0,-5.0,10.0,71.0,237.0,2.0,7.0,66
Turn Up the Music,Chris Brown,POP,13.353299,91.0,2012,130.0,84.0,59.0,-6.0,16.0,64.0,228.0,0.0,10.0,65
Lights - Single Version,Ellie Goulding,POP,9.247324,84.0,2012,120.0,80.0,68.0,-6.0,13.0,78.0,211.0,3.0,4.0,65
We Are Young (feat. Janelle Monáe),fun.,POP,3.461092,73.0,2012,184.0,64.0,38.0,-6.0,8.0,74.0,251.0,2.0,8.0,63
Diamonds,Rihanna,POP,41.858636,93.0,2012,92.0,71.0,56.0,-5.0,11.0,39.0,225.0,0.0,5.0,61
Don't Stop the Party (feat. TJR),Pitbull,POP,8.302253,87.0,2012,127.0,96.0,72.0,-4.0,38.0,95.0,206.0,1.0,9.0,59
You Da One,Rihanna,POP,41.858636,93.0,2012,127.0,72.0,70.0,-5.0,13.0,86.0,200.0,50.0,4.0,57
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,POP,1.205858,78.0,2012,90.0,80.0,65.0,-3.0,27.0,80.0,211.0,3.0,10.0,54
It Will Rain,Bruno Mars,POP,29.381078999999996,93.0,2012,150.0,84.0,58.0,-7.0,8.0,48.0,258.0,34.0,5.0,38
Blow Me (One Last Kiss),P!nk,POP,10.558136,86.0,2012,114.0,92.0,60.0,-3.0,25.0,75.0,256.0,0.0,4.0,0
Underneath the Tree,Kelly Clarkson,POP,7.493860000000001,79.0,2013,160.0,81.0,51.0,-5.0,21.0,69.0,230.0,0.0,5.0,88
Wake Me Up,Avicii,DISCO,19.367148999999998,86.0,2013,124.0,78.0,53.0,-6.0,16.0,64.0,247.0,0.0,5.0,85
Story of My Life,One Direction,POP,20.573,91.0,2013,121.0,66.0,60.0,-6.0,12.0,29.0,245.0,23.0,5.0,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,POP,10.558136,86.0,2013,95.0,55.0,78.0,-7.0,13.0,44.0,243.0,35.0,5.0,81
Hall of Fame,The Script,ROCK,6.4921050000000005,79.0,2013,85.0,87.0,42.0,-4.0,12.0,63.0,203.0,7.0,6.0,80
Roar,Katy Perry,POP,17.821796,88.0,2013,180.0,77.0,55.0,-5.0,35.0,46.0,224.0,0.0,4.0,78
We Can't Stop,Miley Cyrus,POP,14.537891,90.0,2013,80.0,62.0,61.0,-6.0,37.0,48.0,231.0,1.0,3.0,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,DISCO,3.244298,71.0,2013,129.0,84.0,61.0,-3.0,12.0,44.0,213.0,11.0,5.0,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,HIPHOP,7.517866000000001,88.0,2013,116.0,81.0,79.0,-9.0,10.0,86.0,248.0,4.0,4.0,77
Wrecking Ball,Miley Cyrus,POP,14.537891,90.0,2013,120.0,42.0,53.0,-6.0,11.0,35.0,221.0,41.0,3.0,77
Impossible,James Arthur,POP,7.745596000000001,87.0,2013,170.0,70.0,38.0,-5.0,11.0,30.0,209.0,14.0,9.0,77
Blurred Lines,Robin Thicke,POP,1.6997349999999998,70.0,2013,120.0,60.0,85.0,-5.0,8.0,84.0,264.0,0.0,4.0,76
Heart Attack,Demi Lovato,POP,19.291866,87.0,2013,174.0,79.0,50.0,-5.0,24.0,50.0,211.0,7.0,10.0,76
We Are Never Ever Getting Back Together,Taylor Swift,POP,38.00574,98.0,2013,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,75
Die Young,Kesha,POP,6.235482,82.0,2013,128.0,70.0,71.0,-5.0,22.0,80.0,212.0,0.0,5.0,75
Clarity,Zedd,DISCO,5.400656,82.0,2013,128.0,78.0,51.0,-3.0,7.0,18.0,271.0,4.0,7.0,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,POP,12.552754,90.0,2013,126.0,81.0,57.0,-6.0,13.0,11.0,215.0,2.0,6.0,74
Under Control,Calvin Harris,POP,21.442367,88.0,2013,126.0,92.0,54.0,-3.0,12.0,51.0,184.0,13.0,8.0,74
Everybody Talks,Neon Trees,POP,1.006162,73.0,2013,155.0,92.0,47.0,-4.0,31.0,73.0,177.0,0.0,6.0,74
"Hold On, We're Going Home",Drake,HIPHOP,53.806406,100.0,2013,100.0,41.0,77.0,-7.0,7.0,29.0,228.0,0.0,10.0,73
Best Song Ever,One Direction,POP,20.573,91.0,2013,118.0,88.0,65.0,-3.0,8.0,49.0,200.0,2.0,5.0,73
Kiss You,One Direction,POP,20.573,91.0,2013,90.0,93.0,63.0,-3.0,32.0,91.0,183.0,2.0,6.0,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,POP,21.442367,88.0,2013,128.0,93.0,57.0,-4.0,6.0,58.0,213.0,20.0,11.0,72
Lose Yourself to Dance,Daft Punk,HIPHOP,7.517866000000001,88.0,2013,100.0,66.0,83.0,-8.0,8.0,67.0,354.0,8.0,6.0,72
Work Bitch,Britney Spears,POP,8.732805,85.0,2013,128.0,82.0,63.0,-7.0,7.0,85.0,248.0,16.0,16.0,71
Brave,Sara Bareilles,POP,1.60758,74.0,2013,185.0,84.0,55.0,-4.0,4.0,76.0,221.0,1.0,5.0,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,POP,2.5591459999999997,79.0,2013,146.0,93.0,63.0,-4.0,10.0,88.0,258.0,3.0,8.0,70
Feel This Moment (feat. Christina Aguilera),Pitbull,POP,8.302253,87.0,2013,136.0,76.0,67.0,-4.0,34.0,54.0,230.0,4.0,16.0,70
Beneath Your Beautiful,Labrinth,POP,1.5564440000000002,83.0,2013,84.0,52.0,56.0,-6.0,10.0,23.0,272.0,23.0,4.0,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,POP,5.945178,83.0,2013,125.0,68.0,66.0,-7.0,37.0,25.0,252.0,25.0,4.0,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,POP,2.5591459999999997,79.0,2013,95.0,53.0,78.0,-7.0,5.0,66.0,236.0,6.0,29.0,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,POP,11.507962,85.0,2013,126.0,75.0,52.0,-6.0,14.0,16.0,215.0,26.0,4.0,69
The Way,Ariana Grande,POP,60.010425,97.0,2013,82.0,88.0,65.0,-3.0,8.0,86.0,227.0,29.0,11.0,68
Suit & Tie,Justin Timberlake,POP,10.515901,85.0,2013,102.0,60.0,80.0,-4.0,16.0,36.0,326.0,10.0,22.0,68
#thatPOWER,will.i.am,POP,3.341131,79.0,2013,128.0,61.0,80.0,-6.0,7.0,40.0,280.0,0.0,6.0,68
I Love It (feat. Charli XCX),Icona Pop,POP,0.662117,72.0,2013,126.0,91.0,71.0,-3.0,15.0,82.0,157.0,1.0,3.0,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,POP,22.306494,91.0,2013,130.0,87.0,72.0,-3.0,66.0,68.0,209.0,4.0,4.0,67
Daylight,Maroon 5,POP,29.955690999999998,91.0,2013,120.0,67.0,66.0,-5.0,26.0,37.0,225.0,0.0,3.0,66
Love Somebody,Maroon 5,POP,29.955690999999998,91.0,2013,120.0,78.0,68.0,-6.0,12.0,40.0,230.0,13.0,4.0,65
A Little Party Never Killed Nobody (All We Got),Fergie,POP,4.3399019999999995,75.0,2013,130.0,62.0,76.0,-6.0,9.0,52.0,241.0,1.0,18.0,65
Move,Little Mix,POP,8.853859,85.0,2013,121.0,74.0,85.0,-5.0,55.0,77.0,224.0,0.0,9.0,63
Walks Like Rihanna,The Wanted,POP,2.215667,70.0,2013,126.0,82.0,56.0,-3.0,10.0,43.0,202.0,1.0,6.0,62
Rock N Roll,Avril Lavigne,POP,7.005908,81.0,2013,184.0,96.0,47.0,-3.0,34.0,67.0,207.0,1.0,13.0,61
Heartbreaker,Justin Bieber,POP,43.755452000000005,98.0,2013,105.0,52.0,56.0,-7.0,34.0,58.0,263.0,14.0,10.0,61
Mirrors - Radio Edit,Justin Timberlake,POP,10.515901,85.0,2013,77.0,60.0,58.0,-6.0,43.0,65.0,277.0,14.0,5.0,60
Next To Me,Emeli Sandé,POP,2.012163,71.0,2013,95.0,80.0,67.0,-5.0,11.0,35.0,197.0,9.0,4.0,60
Made In The USA,Demi Lovato,POP,19.291866,87.0,2013,87.0,86.0,58.0,-4.0,32.0,59.0,196.0,0.0,4.0,60
Clown,Emeli Sandé,POP,2.012163,71.0,2013,130.0,23.0,45.0,-8.0,11.0,23.0,221.0,92.0,4.0,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,HIPHOP,8.491202000000001,83.0,2013,93.0,81.0,55.0,-6.0,15.0,34.0,271.0,9.0,31.0,59
TKO,Justin Timberlake,POP,10.515901,85.0,2013,138.0,68.0,61.0,-7.0,43.0,49.0,424.0,1.0,24.0,58
Come & Get It,Selena Gomez,POP,26.161775,91.0,2013,80.0,79.0,55.0,-4.0,10.0,58.0,232.0,1.0,5.0,57
